Date	Bulk Volume [m3]
2000-06-03 17:21:00	10000
2000-06-28 14:19:00	35000
2000-07-24 07:50:00	20000
2000-10-15 01:31:00	87673
2001-06-06 06:40:00	32000
2001-06-09 01:20:00	7000
2001-06-15 20:44:00	10000
2001-06-28 05:24:00	36000
2001-07-07 09:46:00	45000
2002-07-31 12:10:00	20000
2002-08-10 10:50:00	71000
2003-05-19 19:36:00	90000
2003-06-08 19:36:00	-
2004-08-12 17:52:00	34000
2004-08-24 10:41:00	36000
2004-10-26 18:26:00	4000
2005-05-28 22:43:00	86000
2005-06-03 20:39:00	28000
2005-06-13 21:38:00	23000
2005-07-04 23:29:00	21000
2005-07-18 20:32:00	12000
2005-08-02 13:46:00	4000
2005-08-18 22:37:00	4000
2006-06-24 21:04:00	55000
2006-06-27 23:22:00	45000
2006-07-18 19:21:00	10000
2006-07-28 12:20:00	7000
2006-10-03 15:27:00	10000
2007-05-28 02:33:00	18600
2007-06-10 21:55:00	50500
2007-06-15 13:04:00	26750
2007-07-21 19:17:00	4560
2008-06-16 20:38:00	10000
2008-07-01 19:24:00	60000
2008-08-31 20:20:00	8000
2009-07-28 23:43:00	-
2009-08-09 19:49:00	57000
2010-07-22 19:16:00	-
2011-05-31 17:47:00	-
2011-06-29 21:14:00	-
2011-07-13 17:06:00	-
2011-07-19 19:44:00	-
2011-10-07 03:29:00	-
2012-06-08 16:00:00	-
2012-06-08 16:30:00	10000
2012-07-29 03:21:00	35000
2012-08-05 02:31:00	45000
2012-09-12 09:42:00	15000
2012-10-09 04:10:00	2000
2013-07-22 17:59:00	65000
2013-07-29 08:56:00	25000
2013-08-08 11:54:00	57000
2013-08-24 15:03:00	31000
2013-09-08 20:37:00	44000
2014-05-07 17:13:00	5000
2014-07-08 11:19:00	11373
2014-07-12 16:08:00	85000
2014-07-20 22:00:00	13000
2014-07-24 00:29:00	13000
2014-07-28 17:35:00	84000
2014-07-29 00:33:00	30000
2014-09-08 21:07:00	34000
2015-07-22 15:48:00	8700
2015-08-10 00:42:00	6100
2015-08-14 16:57:00	25000
2015-08-15 14:25:00	2000
2015-09-14 03:20:00	16000
2016-05-13 02:06:00	25000
2016-05-29 10:51:00	85000
2016-07-12 01:36:00	10000
2016-07-12 10:54:00	60000
2017-05-29 19:08:00	70000
2017-06-04 01:40:00	24000
2017-06-14 21:41:00	33000
2017-08-18 22:00:00	-
